sheet,slot,id,window,equity_trough,position_extreme,unit,note
2026-05-12/001,1,6020969777,10.02-08.05,-6800,-2.0,USDT,
2026-05-12/001,2,6086844899,10.02-08.05,-14000,-2.6,USDT,МИНУС
2026-05-12/001,3,6022090522,10.02-08.05,-6800,-2.0,USDT,
2026-05-12/001,4,6103806785,10.02-08.05,-6800,-2.2,USDT,
2026-05-12/002,1,5191545342,10.02-08.05,-1700,-0.9,USDT,вход 1%
2026-05-12/002,2,5679715769,10.02-08.05,-2500,-1.0,USDT,вход 1%
2026-05-12/002,3,5605013865,12.02-08.05,-27000,2.0,USDT,DEFAULT
2026-05-12/002,4,5033148245,12.02-08.05,-27000,2.0,USDT,DEFAULT TP5
2026-05-12/003,1,5628855938,12.02-08.05,-27000,2.0,USDT,
2026-05-12/003,2,6040842127,12.02-08.05,-27000,2.0,USDT,
2026-05-12/003,3,5715910542,12.02-08.05,-27000,2.0,USDT,
2026-05-12/003,4,6404499886,12.02-08.05,-27000,2.0,USDT,
2026-05-12/004,1,4921414924,12.02-08.05,-30000,2.0,USDT,
2026-05-12/004,2,4747143946,12.02-08.05,-27000,2.0,USDT,
2026-05-12/004,3,4873768707,12.02-08.05,-27000,2.0,USDT,
2026-05-12/004,4,5470258700,12.02-08.05,-20000,1.5,USDT,шаг 0.03
2026-05-12/005,1,6368583350,12.02-08.05,-17000,1.2,USDT,шаг 0.04
2026-05-12/005,3,4713152387,12.02-08.05,-27000,2.0,USDT,
2026-05-12/005,4,4309353533,12.02-08.05,-30000,2.0,USDT,
2026-05-12/006,1,6376836783,12.02-08.05,-20000,2.0,USDT,
2026-05-12/006,2,5065526746,12.02-08.05,-30000,3.2,USDT,макс профит 50k
2026-05-12/006,3,5104067298,12.02-08.05,-30000,2.0,USDT,
2026-05-12/006,4,4938710768,12.02-08.05,-27000,2.0,USDT,
2026-05-12/007,1,4732266764,12.02-08.05,-3.6,-600000,BTC,"инверс LONG, дно в BTC"
2026-05-12/007,2,4395803475,12.02-08.05,-3.0,-700000,BTC,инверс LONG
2026-05-12/007,3,6098318998,12.02-08.05,-20000,2.0,USDT,
2026-05-12/007,4,5201192129,12.02-08.05,-27000,2.0,USDT,
2026-05-12/008,1,4878424625,12.02-08.05,-17000,2.0,USDT,
2026-05-12/008,2,5402572432,12.02-08.05,-27000,2.0,USDT,шаг 0.03
2026-05-12/008,3,6136844491,12.02-08.05,-30000,2.0,USDT,
2026-05-12/008,4,6088337501,12.02-08.05,-27000,2.0,USDT,
2026-05-12/009,1,4495678841,12.02-08.05,-10000,0.9,USDT,шаг 0.05
2026-05-12/009,2,5513798823,12.02-08.05,-17000,1.6,USDT,шаг 0.03
2026-05-12/009,3,4448764350,12.02-08.05,-10000,0.9,USDT,шаг 0.05
2026-05-12/009,4,4839157237,12.02-08.05,-17000,1.6,USDT,шаг 0.03
2026-05-12/010,1,6151331978,10.02-08.05,-12000,-2.7,USDT,МИНУС
2026-05-12/010,3,4802726264,10.02-11.05,-6000,-2.0,USDT,вход 1%
2026-05-12/010,4,4495098475,10.02-11.05,-6500,-2.0,USDT,вход 1%
2026-05-12/011,1,4575642299,10.02-11.05,-27000,-3.2,USDT,МИНУС
2026-05-12/011,2,4541089533,10.02-08.05,-27000,-3.3,USDT,МИНУС
2026-05-12/011,3,4381650876,10.02-11.05,-27000,-3.3,USDT,МИНУС
2026-05-12/011,4,6382537607,10.02-08.05,-27000,-3.3,USDT,МИНУС
2026-05-12/012,1,5308059010,10.02-08.05,-12000,-2.6,USDT,МИНУС
2026-05-12/012,2,5364299273,10.02-08.05,-6000,-2.2,USDT,
2026-05-12/012,3,4936273214,10.02-11.05,-5500,-2.2,USDT,вход 1%
2026-05-12/012,4,4397722182,10.02-08.05,-12000,-2.7,USDT,МИНУС
2026-05-12/013,1,5079432724,10.02-11.05,-6500,-2.0,USDT,вход 1%
2026-05-12/013,2,5112652390,10.02-08.05,-6500,-2.0,USDT,вход 0.5%
2026-05-12/013,3,4601063564,10.02-08.05,-4500,-1.6,USDT,вход 0.8% мульт 1.3
2026-05-12/013,4,4609470670,10.02-08.05,-6500,-1.9,USDT,вход 0.5%
2026-05-12/014,1,6296363362,10.02-11.05,-6500,-2.0,USDT,вход 0.8%
2026-05-12/014,3,6084147502,10.02-08.05,-6000,-2.0,USDT,вход 0.7%
2026-05-12/014,4,4710176635,10.02-08.05,-6500,-2.0,USDT,вход 0.8%
2026-05-12/015,1,5242548019,10.02-08.05,-6500,-2.2,USDT,вход 0.7%
2026-05-12/015,2,5931921500,10.02-08.05,-6500,-2.0,USDT,вход 0.8%
2026-05-12/015,3,4647468979,10.02-08.05,-6000,-1.9,USDT,таргет 0.21
2026-05-12/015,4,4653885510,10.02-08.05,-6000,-2.0,USDT,вход 0.7%
2026-05-12/016,1,5459212217,10.02-08.05,-6500,-2.0,USDT,таргет 0.21
2026-05-12/016,2,5113158403,10.02-08.05,-6500,-2.0,USDT,вход 0.7%
2026-05-12/016,3,6008708029,10.02-08.05,-6500,-2.0,USDT,таргет 0.21
2026-05-12/017,1,5930082746,10.02-08.05,-600,-0.5,USDT,шаг 0.03 вход 1.8%
2026-05-12/017,2,5746319468,10.02-08.05,-1000,-0.4,USDT,шаг 0.05 вход 2.5%
2026-05-12/017,3,6018597940,10.02-08.05,-450,-0.45,USDT,шаг 0.03 вход 1.8%
2026-05-12/017,4,5258465311,10.02-08.05,-800,-0.4,USDT,шаг 0.05 вход 2.5%
2026-05-12/018,1,5746251733,10.02-08.05,-1800,-0.75,USDT,шаг 0.03 вход 1.5%
2026-05-12/018,2,5083162473,10.02-08.05,-800,-0.5,USDT,шаг 0.05 вход 2%
2026-05-12/018,3,5651875004,10.02-08.05,-1400,-0.8,USDT,шаг 0.03 вход 1.5%
2026-05-12/018,4,4412603713,10.02-08.05,-800,-0.5,USDT,шаг 0.05 вход 2%
2026-05-12/019,1,5128377378,10.02-08.05,-3000,-0.8,USDT,шаг 0.03 вход 1.5%
2026-05-12/019,2,5171420361,10.02-08.05,-1600,-0.6,USDT,шаг 0.05 вход 2%
2026-05-12/019,3,5284733184,10.02-08.05,-3000,-1.0,USDT,шаг 0.03 вход 1.5%
2026-05-12/019,4,4562941681,10.02-08.05,-1600,-0.5,USDT,шаг 0.05 вход 2%
2026-05-12/020,1,6250232638,10.02-08.05,-1700,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/020,2,5735101310,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/020,3,5345874656,10.02-08.05,-1700,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/020,4,8207756843,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/021,1,4762014291,10.02-08.05,-1700,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/021,2,5999160056,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/021,3,5645438800,10.02-08.05,-1700,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/021,4,4828810156,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/022,1,5495826089,10.02-08.05,-1600,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/022,2,5889389275,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/022,3,5958707530,10.02-08.05,-1600,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/022,4,4409647919,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/023,1,5386652369,10.02-08.05,-1600,-0.7,USDT,шаг 0.05 вход 2% таргет 0.65
2026-05-12/023,2,5336696820,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/023,3,6302382577,10.02-08.05,-1300,-0.7,USDT,шаг 0.05 таргет 0.65
2026-05-12/023,4,6328844447,10.02-08.05,-6500,-2.0,USDT,вход 0.7%
2026-05-12/024,1,5288991004,10.02-08.05,-6500,-2.0,USDT,вход 0.7% таргет 0.21
2026-05-12/024,2,4409456581,10.02-08.05,-1300,-0.65,USDT,шаг 0.05 вход 2% таргет 0.45
2026-05-12/024,3,5786158579,10.02-08.05,-1600,-0.8,USDT,шаг 0.03 вход 1.5% таргет 0.35
2026-05-12/024,4,6434168596,10.02-08.05,-1300,-0.65,USDT,шаг 0.05 таргет 0.6
2026-05-12/025,1,5903265948,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 вход 1.5% таргет 0.35
2026-05-12/025,2,4988569209,10.02-08.05,-1400,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/025,3,6318450000,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/025,4,5727886174,10.02-08.05,-1400,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/026,1,5795005428,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/026,2,6371528204,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/026,3,5541849030,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/026,4,5751416492,10.02-08.05,-1400,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/027,1,6114770633,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/027,2,6319829445,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/027,3,6223144283,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/027,4,4597714294,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/028,1,5722177968,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/028,2,5396794482,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/028,3,4456030405,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
