window,window_start,window_end,exchange,contract,strategy,side,gs,target,max_orders,min_q,max_q,mult,instop,min_stop,max_stop,profit,profit_unit,realized,unrealized,volume,volume_unit,pos_floor_usd,equity_trough,notes
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.01,0.24,200,100,100,1.4,0.018,0.012,0.015,0.01678873,BTC,0.01710299,-0.00031426,1523300,USD,-20000,-0.048,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.24,200,100,100,1.4,0.018,0.012,0.015,0.01667483,BTC,0.01677828,-0.00010345,1542100,USD,-20000,-0.043,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.24,200,100,100,1.4,0.018,0.012,0.015,0.01821047,BTC,0.01827993,-0.00006945,1663900,USD,-20000,-0.038,эскалация выкл (min=max)
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.24,200,100,300,1.4,0.018,0.012,0.015,0.04955602,BTC,0.04981089,-0.00025487,4593560,USD,-60000,-0.120,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.24,200,100,300,1.4,0.018,0.012,0.015,0.05439944,BTC,0.05455422,-0.00015478,4965280,USD,-60000,-0.105,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.24,300,100,300,1.4,0.018,0.012,0.015,0.05733070,BTC,0.05733070,0.0,5349020,USD,-80000,-0.008,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.29,300,100,300,1.4,0.018,0.012,0.015,0.08093286,BTC,0.08093286,0.0,5657700,USD,-80000,-0.005,ЛУЧШИЙ в окне A
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.29,300,100,300,1.4,0.018,0.012,0.015,0.08062106,BTC,0.08062106,0.0,5631100,USD,-80000,-0.005,ПОВТОР той же конфигурации (расхождение 0.39%)
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.34,300,100,300,1.4,0.018,0.012,0.015,0.06472927,BTC,0.06472927,0.0,3519420,USD,-100000,-0.135,ЗАКЛИНИЛА — за обрывом
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.55,300,100,300,1.4,0.018,0.012,0.015,0.07634883,BTC,0.07634883,0.0,2223540,USD,-100000,-0.130,ЗАКЛИНИЛА
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.24,500,100,300,1.4,0.018,0.012,0.015,0.05746730,BTC,0.05746730,0.0,5357620,USD,-80000,-0.005,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.27,500,100,300,1.4,0.018,0.012,0.015,0.07127428,BTC,0.07127428,0.0,5549040,USD,-80000,-0.005,
A,2026-03-04,2026-06-03,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.29,500,100,300,1.4,0.018,0.012,0.015,0.07779286,BTC,0.07779286,0.0,5486100,USD,-110000,-0.020,500 ордеров хуже 300 на этом таргете
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.01,0.24,300,100,300,1.4,0.018,0.012,0.015,0.10700641,BTC,0.10700641,0.0,13125660,USD,-100000,-0.042,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.24,300,100,300,1.4,0.018,0.012,0.015,0.06858597,BTC,0.06858597,0.0,8708680,USD,-95000,-0.022,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.24,300,100,300,1.4,0.018,0.012,0.015,0.04575361,BTC,0.04575361,0.0,5795440,USD,-62000,-0.019,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.01,0.34,300,100,300,1.4,0.018,0.012,0.015,0.17316801,BTC,0.17316801,0.0,13737820,USD,-100000,-0.035,ЛУЧШИЙ в окне B по абсолюту
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.34,300,100,300,1.4,0.018,0.012,0.015,0.11176123,BTC,0.11176123,0.0,8399960,USD,-100000,-0.025,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.34,300,100,300,1.4,0.018,0.012,0.015,0.06735725,BTC,0.06735725,0.0,5579840,USD,-80000,-0.017,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.01,0.44,300,100,300,1.4,0.018,0.012,0.015,0.05110864,BTC,0.12637140,-0.07526276,7256800,USD,-100000,-0.045,МЕШОК — шаг 0.01 клинит на таргете >=0.44
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.44,300,100,300,1.4,0.018,0.012,0.015,0.14605453,BTC,0.14605453,0.0,8055660,USD,-100000,-0.020,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.44,300,100,300,1.4,0.018,0.012,0.015,0.09875936,BTC,0.09875936,0.0,5442340,USD,-100000,-0.018,
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.01,0.55,300,100,300,1.4,0.018,0.012,0.015,0.07642277,BTC,0.15168553,-0.07526276,7012900,USD,-100000,-0.040,МЕШОК — тот же упор 300 триггеров / 89500 USD
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.02,0.55,300,100,300,1.4,0.018,0.012,0.015,0.16231901,BTC,0.16231901,0.0,7049140,USD,-100000,-0.018,лучший риск-скор в окне B
B,2025-10-02,2026-01-01,OKX,COIN_inverse,INDICATOR_GRID,Short,0.03,0.55,300,100,300,1.4,0.018,0.012,0.015,0.13010683,BTC,0.13010683,0.0,5365020,USD,-80000,-0.015,
