id,asset,window_start,window_end,exchange,contract,pair,strategy,side,base_offset,dyn_offset,step,orders,size,max_size,mult,instop,target,min_stop,max_stop,exit_avg,profit,realized,unrealized,volume_usdt,triggers,position,position_unit,avg_price,curve_low_approx,notes
5014256114,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.5,200,0.009,,,0,1.65,0.006,0.02,on,5931.65,9956.86,-4025.21,1291459,63,0.567,BTC,69453.0,-2000,
6376075862,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.6,200,0.009,,,0,1.65,0.006,0.02,on,5142.32,8552.89,-3410.58,1093392,52,0.468,BTC,69264.4,-2000,
6276741828,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.7,200,0.009,,,0,1.65,0.006,0.02,on,4371.16,7364.68,-2993.52,948098,46,0.414,BTC,69322.2,-1900,
5475035244,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,200,0.009,,,0,1.65,0.006,0.02,on,4280.89,6980.07,-2699.18,885844,41,0.369,BTC,69238.0,-1800,baseline for size-scaling test
6085174732,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,200,0.0138,,,0,1.65,0.006,0.02,on,6536.91,10768.18,-4231.27,1359297,42,0.5796,BTC,69292.3,-2500,"SIZE TEST: 0.009->0.0138 (x1.533); Win predicted +6564, actual +6537 (-0.4%)"
5827594351,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,200,0.008,,,0,1.4,0.006,0.02,on,3224.04,5607.91,-2383.86,839122,41,0.328,BTC,69285.0,-1800,
5248867317,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,200,0.011,,,0,1.2,0.006,0.02,on,3682.6,7055.35,-3372.75,1291790,42,0.462,BTC,69292.3,-2000,low target on WIDE step = worst efficiency
4646241069,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.5,200,0.005,0.02,1.1,0,1.2,0.006,0.02,on,8157.66,10610.77,-2453.11,1937224,49,0.8381,BTC,73614.6,-2000,highest ABSOLUTE profit
5048138255,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.5,200,0.005,0.02,1.1,0.01,1.2,0.006,0.02,on,7950.47,10265.84,-2315.38,1853399,48,0.8181,BTC,73788.8,-2000,INSTOP TEST vs 4646241069: only instop differs
5817921692,BTC,2025-09-17,2026-09-17,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.6,200,0.005,0.02,1.1,0,1.2,0.006,0.02,on,6118.37,8215.14,-2096.77,1491357,41,0.6781,BTC,73456.6,-2000,
5357902323,BTC,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.6,200,0.005,0.02,1.1,0,1.69,0.006,0.02,on,4152.32,10091.06,-5938.74,1293877,52,0.8981,BTC,70666.8,-2000,WINDOW SHIFTED: 2025-09-10..2026-09-10
5559353931,ETH,2025-09-17,2026-09-16,OKX,USDT_FUTURES,ETH-USDT-SWAP,DYNAMIC_GRID,Auto,0.75,0.1,0.4,200,0.03,,,0,2.2,0.01,0.1,on,1947.37,2330.22,-382.85,221480,75,2.25,ETH,2240.04,-1000,
5107120570,ETH,2025-09-17,2026-09-16,OKX,USDT_FUTURES,ETH-USDT-SWAP,DYNAMIC_GRID,Auto,0.75,0.1,0.4,200,0.03,,,0,2.5,0.01,0.1,on,2260.11,2288.02,-27.91,189649,21,0.63,ETH,2382.14,-2300,
4360708946,ETH,2025-09-17,2026-09-16,OKX,USDT_FUTURES,ETH-USDT-SWAP,DYNAMIC_GRID,Auto,0.75,0.1,0.4,200,0.03,,,0,2.9,0.01,0.1,on,2622.76,2647.62,-24.86,188972,16,0.48,ETH,2428.9,-1500,
