id,window_start,window_end,exchange,contract,pair,strategy,side,base_offset,dyn_offset,step,orders,size,max_size,mult,instop,target,take_profit,min_stop,max_stop,exit_at_average,profit,realized,unrealized,volume_usdt,triggers,position_btc,avg_price,avg_sell,out_stop,notes
4789187658,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.1,800,0.0013,,,0,1.6,,0.006,0.02,off,4391.77,7357.98,-2966.21,981875,225,0.2925,74716.9,67858.1,,
5982930347,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,1.6,,0.006,0.02,off,4823.77,8086.87,-3263.09,1085783,127,0.3175,74907.1,67748.6,,
4598027329,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,1.6,,0.006,0.02,off,5411.03,8785.4,-3374.37,1180671,68,0.34,75224.0,68082.3,,
4825767639,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,1.6,,0.006,0.02,off,5851.99,9299.38,-3447.39,1251662,35,0.35,75175.6,67379.5,,
5270746573,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.1,800,0.0013,,,0,1.2,,0.006,0.02,off,4212.13,7171.64,-2959.52,1303229,221,0.2873,76005.0,67697.8,,
5879703159,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,1.2,,0.006,0.02,off,4580.2,7861.97,-3281.77,1435170,126,0.315,76352.5,67634.6,,
4853142445,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,1.2,,0.006,0.02,off,5138.11,8610.63,-3472.52,1571180,68,0.34,76498.5,67793.5,,
5210207145,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,1.2,,0.006,0.02,off,5732.26,9151.95,-3419.69,1658213,34,0.34,76018.2,67171.1,,BEST by $/BTC = 16860
5360860586,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.1,800,0.0013,,,0,0.4,,0.006,0.02,off,2696.33,5595.54,-2899.2,3677061,216,0.2808,78856.6,67608.8,0.0013 @ 77877.9,only Out Stop fire in the whole batch
5139158480,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,0.4,,0.006,0.02,off,3148.78,6421.09,-3272.32,4294455,124,0.31,78903.7,67494.6,,Finished
