окно,шаг,таргет,ордеров,макс_ордер,профит_BTC,оборот_USD,цена_окна,профит_USD,маржа_%
A,0.01,0.24,200,100.0,0.01710299,1523300,73154.67537372818,1251.1636813701193,0.08213508050745875
A,0.02,0.24,200,100.0,0.01677828,1542100,73154.67537372818,1227.409626729516,0.07959338737627367
A,0.03,0.24,200,100.0,0.01827993,1663900,73154.67537372818,1337.262345004475,0.08036915349507033
A,0.02,0.24,200,300.0,0.04981089,4593560,73154.67537372818,3643.899488026483,0.07932626302968684
A,0.03,0.24,200,300.0,0.05455422,4965280,73154.67537372818,3990.8962543669495,0.08037605642314129
A,0.02,0.24,300,300.0,0.0573307,5349020,73154.67537372818,4194.008747448598,0.07840704928096358
A,0.02,0.29,300,300.0,0.08093286,5657700,73154.67537372818,5920.617100367391,0.10464706683577056
A,0.02,0.29,300,300.0,0.08062106,5631100,73154.67537372818,5897.807472585861,0.10473632989266506
A,0.02,0.34,300,300.0,0.06472927,3519420,73154.67537372818,4735.248734028403,0.13454628131988805
A,0.02,0.55,300,300.0,0.07634883,2223540,73154.67537372818,5585.27387381396,0.2511883696184445
A,0.02,0.24,500,300.0,0.0574673,5357620,73154.67537372818,4204.00167610465,0.07846770909666326
A,0.02,0.27,500,300.0,0.07127428,5549040,73154.67537372818,5214.046815896207,0.09396304254242548
A,0.02,0.29,500,300.0,0.07779286,5486100,73154.67537372818,5690.911419693884,0.10373327900865614
B,0.01,0.24,300,300.0,0.10700641,13125660,100361.60207082483,10739.33473944753,0.08181938843035344
B,0.02,0.24,300,300.0,0.06858597,8708680,100361.60207082483,6883.397828781529,0.07904065631968941
B,0.03,0.24,300,300.0,0.04575361,5795440,100361.60207082483,4591.905600123711,0.0792330798028055
B,0.01,0.34,300,300.0,0.17316801,13737820,100361.60207082483,17379.418911016615,0.1265078368403183
B,0.02,0.34,300,300.0,0.11176123,8399960,100361.60207082483,11216.53609220593,0.13353082743496314
B,0.03,0.34,300,300.0,0.06735725,5579840,100361.60207082483,6760.081521085065,0.12115188824563188
B,0.01,0.44,300,300.0,0.1263714,7256800,100361.60207082483,12682.836159933031,0.1747717473257225
B,0.02,0.44,300,300.0,0.14605453,8055660,100361.60207082483,14658.266620501345,0.18196232984636077
B,0.03,0.44,300,300.0,0.09875936,5442340,100361.60207082483,9911.647589089334,0.18212106537058204
B,0.01,0.55,300,300.0,0.15168553,7012900,100361.60207082483,15223.402801762162,0.21707714072298426
B,0.02,0.55,300,300.0,0.16231901,7049140,100361.60207082483,16290.595890150236,0.23110047310948906
B,0.03,0.55,300,300.0,0.13010683,5365020,100361.60207082483,13057.729899156455,0.2433864160647389
B,0.02,0.27,500,300.0,0.08473223,8714580,100361.60207082483,8503.862349833606,0.09758201026135059
B,0.02,0.29,500,300.0,0.08811531,8719640,100361.60207082483,8843.393678567372,0.10141925215453129
