sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-12/001,1,6020969777,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.1,0.25,3,827.28,2994.14,-2166.86,14279099,
2026-05-12/001,2,6086844899,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.2,0.25,3,-7653.19,5288.73,-12941.92,14720658,
2026-05-12/001,3,6022090522,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.2,0.25,3,706.66,2945.51,-2238.85,14912014,
2026-05-12/001,4,6103806785,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.1,0.25,3,799.68,2918.81,-2118.95,14384272,
2026-05-12/010,1,6151331978,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.1,0.25,25,-6652.27,6053.45,-12705.71,14566244,
2026-05-12/010,3,4802726264,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.1,0.25,25,2746.27,2746.27,0,9841792,мешок пуст
2026-05-12/010,4,4495098475,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.1,0.25,25,2720.77,2720.77,0,9926730,мешок пуст
2026-05-12/025,1,5903265948,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,40,1716.05,1716.05,0,3590416,мешок пуст
2026-05-12/025,2,4988569209,BTCUSDT,INDICATOR,Short,2.0,0.05,5000,0.002,0.005,1.2,0.6,140,2229.38,2229.38,0,1542334,мешок пуст
2026-05-12/025,3,6318450000,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,60,2338.34,2338.34,0,4425327,мешок пуст
2026-05-12/025,4,5727886174,BTCUSDT,INDICATOR,Short,2.0,0.05,5000,0.002,0.005,1.2,0.6,140,2253.65,2253.65,0,1588926,мешок пуст
2026-05-19/020,1,4750477609,ETHUSDT,INDICATOR,Short,1.4,0.08,5000,0.01,0.03,1.4,0.24,20,851.04,871.39,-20.35,1795318,
2026-05-19/020,2,5116453879,ETHUSDT,INDICATOR,Short,1.4,0.2,5000,0.01,0.03,1.4,0.24,20,395.85,403.11,-7.27,854193,
2026-05-19/020,3,6406009846,ETHUSDT,INDICATOR,Short,1.4,0.15,5000,0.01,0.03,1.4,0.24,20,428.23,456.51,-28.28,1088367,
2026-05-19/020,4,5080186998,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.1,0.24,20,816.00,848.00,-32.00,1289521,
2026-06-28/030,1,5025395589,BTCUSDT,INDICATOR,Short,1.5,0.06,220,0.001,0.003,1.3,0.34,0,-4601.18,976.87,-5578.05,674293,окно база 05.02-05.05
2026-06-28/030,2,4822680275,BTCUSDT,INDICATOR,Short,1.5,0.06,220,0.001,0.003,1.3,0.34,0,-6257.41,4410.81,-10668.21,3190731,окно база 05.02-05.05
2026-06-28/030,3,4916654512,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.01,1.1,0.34,0,2335.34,4579.56,-2244.22,3520363,окно база выход-средней ВКЛ
2026-06-28/030,4,4968352800,BTCUSDT,INDICATOR,Short,0.7,0.06,220,0.001,0.003,1.3,0.34,0,2391.80,2484.83,-93.02,1796417,окно форвард 10.05-28.06
2026-05-12/040,1,4561287250,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.3,0.29,25,0.18042,0.18043,-0.0000078,10360300,COIN_FUTURES профит в BTC
2026-05-12/040,2,5093257243,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.3,0.25,20,0.16114,0.16121,-0.0000070,11254100,COIN_FUTURES
2026-05-12/040,3,5129615111,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.4,0.25,15,0.16130,0.16137,-0.0000070,11262500,COIN_FUTURES
2026-05-12/040,4,6247084940,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.4,0.27,15,0.17392,0.17399,-0.0000088,10880700,COIN_FUTURES
2026-05-12/005,1,6368583350,BTCUSDT,DEFAULT,Short,,0.04,5000,0.001,0.003,1.1,0.25,10,7093.58,8092.78,-999.20,32708706,DEFAULT GRID
2026-05-12/005,3,4713152387,BTCUSDT,DEFAULT,Short,,0.02,5000,0.001,0.003,1.1,0.25,30,7582.25,20068.14,-12485.89,66714051,тейк 30
2026-05-12/005,4,4309353533,BTCUSDT,DEFAULT,Short,,0.02,5000,0.001,0.003,1.1,0.25,25,15675.34,18091.90,-2416.55,66996641,тейк 25 - вдвое больше при впятеро меньшем мешке
2026-05-12/045,1,5103388848,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.55,20,0.16487,0.16491,-0.0000358,4535700,
2026-05-12/045,3,5290841033,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.6,60,0.16678,0.16687,-0.0000303,4205100,
2026-05-12/045,4,5382507436,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.85,70,0.17385,0.17388,-0.0000448,3992300,
2026-06-28/035,1,4839995317,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.39,0,3899.40,8290.83,-4391.43,5204899,база base_off0.4 выход-средней ON
2026-06-28/035,2,5254765012,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.41,0,4104.96,7978.82,-3873.85,4729160,база base_off0.5
2026-06-28/035,3,5301557176,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.41,0,-3319.15,-2978.90,-340.25,1936235,ФОРВАРД base_off0.5 стоп-лосс -2000
2026-06-28/035,4,5908799900,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.39,0,-8551.80,3722.06,-12273.86,2325643,ФОРВАРД base_off0.4 мешок -12274
2026-06-28/040,1,5558711137,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.41,0,3077.72,3095.55,-17.83,1751247,база
2026-06-28/040,2,4317905216,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.33,0,2551.63,2551.84,-0.21,1908027,база - совпало с якорем Вина 2553
2026-06-28/040,3,5755596920,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.29,0,2280.17,2280.38,-0.21,1953830,база
2026-06-28/040,4,5863002238,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.45,0,3459.36,3465.57,-6.21,1738827,база
2026-06-28/044,1,6231646760,BTCUSDT,DYNAMIC,Auto,,0.3,200,0.005,0.02,1.1,0.49,0,1095.23,1095.23,0,488752,ФОРВАРД Finished яма -12000 потом флаш - якорь Вина 1072
