пара,направление,старт,конец,дней,ход_pct,ход_в_день,первая_треть_pct,доля_в_первой_трети,макс_откат_внутри_pct,воля_до,воля_внутри,объём_к_норме,цена_к_sma20_на_старте,откат_после_pct,часов_до_отката
BTC,рост,2024-05-15 00:00:00+00:00,2024-05-20 23:00:00+00:00,6.0,16.29,2.73,6.18,38.0,-3.22,,0.419,,,-3.02,20
BTC,рост,2024-05-24 06:00:00+00:00,2024-06-07 11:00:00+00:00,14.2,7.2,0.51,2.26,31.0,-5.68,0.421,0.339,0.68,,-3.55,7
BTC,падение,2024-06-12 14:00:00+00:00,2024-06-24 19:00:00+00:00,12.2,15.23,1.25,4.64,30.0,3.8,0.325,0.375,0.92,1.53,-3.37,8
BTC,рост,2024-06-24 19:00:00+00:00,2024-07-01 17:00:00+00:00,6.9,7.4,1.07,2.9,39.0,-3.88,0.319,0.37,0.96,-11.55,-3.27,32
BTC,рост,2024-07-16 08:00:00+00:00,2024-07-22 19:00:00+00:00,6.5,8.61,1.33,3.08,36.0,-4.37,0.493,0.44,0.94,5.53,-3.14,18
BTC,рост,2024-08-19 09:00:00+00:00,2024-08-25 22:00:00+00:00,6.5,11.16,1.71,3.31,30.0,-4.64,0.554,0.498,0.74,-3.21,-3.33,36
BTC,падение,2024-08-29 14:00:00+00:00,2024-09-04 05:00:00+00:00,5.6,7.5,1.33,2.79,37.0,4.69,0.313,0.518,0.69,0.51,-3.35,10
BTC,рост,2024-09-16 14:00:00+00:00,2024-09-27 16:00:00+00:00,11.1,15.1,1.36,10.75,71.0,-3.5,0.402,0.408,0.99,-0.34,-3.0,64
BTC,падение,2024-09-27 16:00:00+00:00,2024-10-03 16:00:00+00:00,6.0,9.25,1.54,0.81,9.0,3.7,0.4,0.387,0.98,9.77,-3.45,24
BTC,рост,2024-10-15 14:00:00+00:00,2024-10-29 18:00:00+00:00,14.2,11.92,0.84,4.59,39.0,-6.13,0.411,0.344,1.12,3.65,-3.3,44
BTC,падение,2024-10-29 18:00:00+00:00,2024-11-04 21:00:00+00:00,6.1,8.27,1.35,4.21,51.0,4.07,0.278,0.434,1.15,10.19,-4.24,17
BTC,рост,2024-11-04 21:00:00+00:00,2024-11-12 06:00:00+00:00,7.4,33.41,4.53,11.96,36.0,-3.65,0.434,0.52,2.31,-2.13,-3.08,4
BTC,рост,2024-11-14 23:00:00+00:00,2024-11-22 21:00:00+00:00,7.9,13.68,1.73,3.42,25.0,-3.41,0.728,0.546,1.15,16.82,-3.4,42
BTC,рост,2024-12-10 17:00:00+00:00,2024-12-17 14:00:00+00:00,6.9,14.58,2.12,5.93,41.0,-3.25,0.599,0.493,0.62,-2.78,-3.23,13
BTC,рост,2024-12-30 14:00:00+00:00,2025-01-06 23:00:00+00:00,7.4,11.27,1.53,3.24,29.0,-3.49,0.341,0.351,0.52,-7.0,-4.19,16
BTC,рост,2025-01-13 12:00:00+00:00,2025-01-19 20:00:00+00:00,6.3,17.13,2.7,9.59,56.0,-3.5,0.52,0.56,1.27,-5.42,-4.65,3
BTC,падение,2025-01-21 19:00:00+00:00,2025-01-27 10:00:00+00:00,5.6,8.07,1.43,1.77,22.0,5.78,0.616,0.433,1.0,8.84,-3.59,4
BTC,падение,2025-02-03 19:00:00+00:00,2025-02-09 21:00:00+00:00,6.1,6.58,1.08,4.43,67.0,4.66,0.448,0.489,0.82,-0.69,-3.2,16
BTC,падение,2025-02-21 13:00:00+00:00,2025-02-26 19:00:00+00:00,5.2,15.58,2.97,2.85,18.0,3.96,0.317,0.448,1.56,2.2,-3.76,15
BTC,рост,2025-03-13 17:00:00+00:00,2025-03-19 23:00:00+00:00,6.2,8.47,1.36,5.29,62.0,-4.89,0.736,0.442,0.59,-8.43,-3.5,17
BTC,падение,2025-03-24 18:00:00+00:00,2025-03-31 09:00:00+00:00,6.6,7.92,1.2,1.76,22.0,2.58,0.354,0.348,0.54,4.61,-3.27,23
BTC,рост,2025-04-16 00:00:00+00:00,2025-05-02 14:00:00+00:00,16.6,17.56,1.06,4.68,27.0,-3.21,0.517,0.329,0.74,0.32,-3.55,57
BTC,рост,2025-05-12 18:00:00+00:00,2025-05-22 03:00:00+00:00,9.4,9.99,1.07,1.63,16.0,-4.77,0.361,0.439,1.18,5.02,-3.01,33
BTC,падение,2025-05-22 03:00:00+00:00,2025-05-31 02:00:00+00:00,9.0,7.69,0.86,3.45,45.0,3.86,0.49,0.352,1.0,10.15,-3.0,70
BTC,рост,2025-06-05 20:00:00+00:00,2025-06-10 23:00:00+00:00,5.1,9.74,1.9,5.1,52.0,-1.99,0.271,0.273,0.72,-5.65,-3.06,36
BTC,падение,2025-06-16 20:00:00+00:00,2025-06-22 19:00:00+00:00,6.0,9.1,1.53,4.57,50.0,3.05,0.248,0.347,0.85,2.64,-3.09,11
BTC,рост,2025-06-22 19:00:00+00:00,2025-06-30 00:00:00+00:00,7.2,9.94,1.38,7.4,74.0,-2.92,0.344,0.255,0.87,-6.28,-3.05,43
BTC,рост,2025-07-02 00:00:00+00:00,2025-07-14 07:00:00+00:00,12.3,16.46,1.34,2.53,15.0,-2.98,0.244,0.236,0.96,-0.19,-3.51,18
BTC,падение,2025-07-14 07:00:00+00:00,2025-07-25 14:00:00+00:00,11.3,6.34,0.56,1.95,31.0,4.55,0.295,0.355,1.46,11.81,-3.01,48
BTC,падение,2025-07-28 05:00:00+00:00,2025-08-02 19:00:00+00:00,5.6,6.1,1.09,1.39,23.0,2.7,0.353,0.301,1.12,2.04,-3.67,111
BTC,рост,2025-08-02 19:00:00+00:00,2025-08-11 06:00:00+00:00,8.5,8.97,1.06,0.72,8.0,-2.65,0.308,0.265,0.74,-4.82,-3.18,27
BTC,падение,2025-08-14 00:00:00+00:00,2025-08-21 19:00:00+00:00,7.8,9.41,1.21,4.91,52.0,3.02,0.296,0.335,0.92,5.91,-3.22,19
BTC,рост,2025-09-01 04:00:00+00:00,2025-09-18 18:00:00+00:00,17.6,9.7,0.55,2.74,28.0,-3.01,0.299,0.259,0.86,-6.05,-3.01,79
BTC,падение,2025-09-18 18:00:00+00:00,2025-09-25 17:00:00+00:00,7.0,7.63,1.1,1.97,26.0,2.61,0.228,0.232,0.83,4.62,-3.06,78
BTC,рост,2025-09-25 17:00:00+00:00,2025-10-06 18:00:00+00:00,11.0,15.78,1.43,3.01,19.0,-2.71,0.262,0.306,1.25,-4.6,-3.31,21
BTC,падение,2025-10-06 18:00:00+00:00,2025-10-12 00:00:00+00:00,5.2,12.99,2.47,2.68,21.0,12.86,0.332,0.428,2.35,9.05,-3.24,15
