entry_ts,exit_ts,side,entry,exit,reason,pnl%
2024-05-25 08:00:00+00:00,2024-05-26 20:00:00+00:00,L,69104.7,68507.7,REV,-1.014
2024-05-26 20:00:00+00:00,2024-06-02 08:00:00+00:00,S,68507.7,68251.5,REV,0.224
2024-06-02 08:00:00+00:00,2024-06-05 04:00:00+00:00,L,68251.5,71369.7,TP,4.419
2024-06-09 12:00:00+00:00,2024-06-11 04:00:00+00:00,L,69508.6,67865.4,SL,-2.514
2024-06-21 00:00:00+00:00,2024-06-22 04:00:00+00:00,S,64506.1,64520.0,REV,-0.171
2024-06-22 04:00:00+00:00,2024-06-24 04:00:00+00:00,L,64520.0,62397.7,SL,-3.439
2024-06-24 16:00:00+00:00,2024-06-25 12:00:00+00:00,S,59306.7,61670.0,SL,-4.135
2024-07-03 00:00:00+00:00,2024-07-04 08:00:00+00:00,S,60988.0,57342.4,TP,5.828
2024-07-04 08:00:00+00:00,2024-07-08 08:00:00+00:00,S,57761.9,57154.0,REV,0.902
2024-07-08 08:00:00+00:00,2024-07-10 12:00:00+00:00,L,57154.0,57699.7,REV,0.805
2024-07-10 12:00:00+00:00,2024-07-11 08:00:00+00:00,S,57699.7,58778.0,REV,-2.019
2024-07-11 08:00:00+00:00,2024-07-15 20:00:00+00:00,L,58778.0,63907.9,TP,8.578
2024-07-17 08:00:00+00:00,2024-07-18 00:00:00+00:00,S,64723.7,64865.1,REV,-0.368
2024-07-18 00:00:00+00:00,2024-07-18 12:00:00+00:00,L,64865.1,63538.1,REV,-2.196
2024-07-18 12:00:00+00:00,2024-07-19 16:00:00+00:00,S,63538.1,66668.2,SL,-5.076
2024-07-20 12:00:00+00:00,2024-07-25 00:00:00+00:00,L,66825.0,64133.3,SL,-4.178
2024-07-27 12:00:00+00:00,2024-07-29 12:00:00+00:00,L,68844.0,68104.0,REV,-1.225
2024-07-29 12:00:00+00:00,2024-08-01 12:00:00+00:00,S,68104.0,62997.1,TP,7.349
2024-08-02 20:00:00+00:00,2024-08-05 00:00:00+00:00,S,61498.3,54806.7,TP,10.731
2024-08-06 00:00:00+00:00,2024-08-26 20:00:00+00:00,L,55665.7,62834.0,REV,12.727
2024-08-26 20:00:00+00:00,2024-08-27 20:00:00+00:00,S,62834.0,59049.3,TP,5.873
2024-08-27 20:00:00+00:00,2024-09-02 20:00:00+00:00,S,59415.0,59132.1,REV,0.326
2024-09-02 20:00:00+00:00,2024-09-03 20:00:00+00:00,L,59132.1,57487.7,REV,-2.931
2024-09-03 20:00:00+00:00,2024-09-06 16:00:00+00:00,S,57487.7,53278.7,TP,7.172
2024-09-12 00:00:00+00:00,2024-09-12 12:00:00+00:00,L,58232.7,57512.0,REV,-1.388
2024-09-12 12:00:00+00:00,2024-09-13 20:00:00+00:00,S,57512.0,60216.5,SL,-4.852
2024-09-17 04:00:00+00:00,2024-09-18 08:00:00+00:00,L,58695.4,59846.0,REV,1.81
2024-09-18 08:00:00+00:00,2024-09-19 00:00:00+00:00,S,59846.0,62509.0,SL,-4.6
2024-09-19 08:00:00+00:00,2024-09-22 08:00:00+00:00,L,62645.4,62784.0,REV,0.071
2024-09-22 08:00:00+00:00,2024-09-25 00:00:00+00:00,S,62784.0,64789.1,SL,-3.344
2024-09-30 08:00:00+00:00,2024-10-01 04:00:00+00:00,S,63819.4,64045.9,REV,-0.505
2024-10-01 04:00:00+00:00,2024-10-01 12:00:00+00:00,L,64045.9,62051.1,SL,-3.265
2024-10-01 12:00:00+00:00,2024-10-14 08:00:00+00:00,S,62628.8,64858.2,SL,-3.71
2024-10-16 08:00:00+00:00,2024-10-29 16:00:00+00:00,L,67894.7,72870.5,TP,7.179
2024-10-30 08:00:00+00:00,2024-11-03 12:00:00+00:00,S,71984.0,67802.0,TP,5.66
2024-11-06 00:00:00+00:00,2024-11-10 20:00:00+00:00,L,74348.5,81110.9,TP,8.945
2024-11-11 08:00:00+00:00,2024-11-11 20:00:00+00:00,L,82134.0,88542.8,TP,7.653
2024-11-21 00:00:00+00:00,2024-11-24 08:00:00+00:00,L,95798.1,97280.0,REV,1.397
2024-11-24 08:00:00+00:00,2024-11-26 08:00:00+00:00,S,97280.0,91481.9,TP,5.81
2024-11-29 08:00:00+00:00,2024-11-30 00:00:00+00:00,L,97237.9,96640.0,REV,-0.765
2024-11-30 00:00:00+00:00,2024-11-30 16:00:00+00:00,S,96640.0,97019.7,REV,-0.543
2024-11-30 16:00:00+00:00,2024-12-05 00:00:00+00:00,L,97019.7,103139.1,TP,6.157
2024-12-05 12:00:00+00:00,2024-12-05 20:00:00+00:00,S,101292.0,92419.3,TP,8.61
2024-12-08 20:00:00+00:00,2024-12-09 20:00:00+00:00,L,101109.6,96576.9,SL,-4.633
2024-12-14 00:00:00+00:00,2024-12-16 08:00:00+00:00,L,102088.0,103758.0,REV,1.486
2024-12-16 08:00:00+00:00,2024-12-17 12:00:00+00:00,S,103758.0,107816.5,SL,-4.061
2024-12-21 04:00:00+00:00,2024-12-22 04:00:00+00:00,L,99040.0,96210.2,REV,-3.007
2024-12-22 04:00:00+00:00,2024-12-24 12:00:00+00:00,S,96210.2,98300.0,REV,-2.322
2024-12-24 12:00:00+00:00,2024-12-30 12:00:00+00:00,L,98300.0,92381.8,SL,-6.171
2025-01-01 08:00:00+00:00,2025-01-02 12:00:00+00:00,S,93444.6,97383.0,SL,-4.365
2025-01-07 08:00:00+00:00,2025-01-08 04:00:00+00:00,S,100830.9,95415.8,TP,5.22
2025-01-08 16:00:00+00:00,2025-01-13 20:00:00+00:00,S,94243.9,94536.1,REV,-0.46
2025-01-13 20:00:00+00:00,2025-01-16 08:00:00+00:00,L,94536.1,99158.7,REV,4.74
2025-01-16 08:00:00+00:00,2025-01-17 08:00:00+00:00,S,99158.7,102237.6,REV,-3.255
2025-01-17 08:00:00+00:00,2025-01-18 00:00:00+00:00,L,102237.6,103559.8,REV,1.143
2025-01-18 00:00:00+00:00,2025-01-20 04:00:00+00:00,S,103559.8,108239.5,SL,-4.669
2025-01-21 08:00:00+00:00,2025-01-22 04:00:00+00:00,L,103758.2,105084.8,REV,1.128
2025-01-22 04:00:00+00:00,2025-01-29 04:00:00+00:00,S,105084.8,102755.8,REV,2.066
2025-01-29 04:00:00+00:00,2025-02-02 16:00:00+00:00,L,102755.8,97904.8,SL,-4.871
2025-02-06 04:00:00+00:00,2025-02-11 12:00:00+00:00,L,98195.6,97007.5,REV,-1.36
2025-02-11 12:00:00+00:00,2025-02-24 20:00:00+00:00,S,97007.5,91564.7,TP,5.461
2025-03-01 00:00:00+00:00,2025-03-07 00:00:00+00:00,L,85330.8,86991.2,REV,1.796
2025-03-07 00:00:00+00:00,2025-04-03 20:00:00+00:00,S,86991.2,83213.1,REV,4.193
2025-04-03 20:00:00+00:00,2025-04-06 16:00:00+00:00,L,83213.1,78871.2,SL,-5.368
2025-04-07 04:00:00+00:00,2025-04-07 12:00:00+00:00,S,75126.0,79859.2,SL,-6.45
2025-04-07 12:00:00+00:00,2025-04-10 12:00:00+00:00,L,78479.9,78757.0,REV,0.203
2025-04-10 12:00:00+00:00,2025-04-11 00:00:00+00:00,S,78757.0,80843.0,REV,-2.799
2025-04-11 00:00:00+00:00,2025-04-14 12:00:00+00:00,L,80843.0,84101.2,REV,3.88
2025-04-14 12:00:00+00:00,2025-04-15 00:00:00+00:00,S,84101.2,85380.0,REV,-1.671
2025-04-15 00:00:00+00:00,2025-04-18 04:00:00+00:00,L,85380.0,84654.7,REV,-0.999
2025-04-18 04:00:00+00:00,2025-04-21 04:00:00+00:00,S,84654.7,87658.0,SL,-3.698
2025-04-24 00:00:00+00:00,2025-04-25 08:00:00+00:00,S,92674.0,94635.7,REV,-2.267
2025-04-25 08:00:00+00:00,2025-05-04 08:00:00+00:00,L,94635.7,95423.2,REV,0.682
2025-05-04 08:00:00+00:00,2025-05-08 00:00:00+00:00,S,95423.2,97798.7,SL,-2.639
2025-05-10 04:00:00+00:00,2025-05-21 16:00:00+00:00,L,103759.7,109650.6,TP,5.527
2025-05-24 20:00:00+00:00,2025-06-07 12:00:00+00:00,S,107761.9,105558.1,REV,1.895
