mode,start,end,days,start_px,end_px,net_pct
LONG,2024-08-22 16:00:00+00:00,2024-08-28 04:00:00+00:00,5.5,60308.0,58600.98,-2.83
CHOP,2024-08-28 08:00:00+00:00,2024-09-01 04:00:00+00:00,3.8,59935.0,58478.64,-2.43
SHORT,2024-09-01 08:00:00+00:00,2024-09-10 04:00:00+00:00,8.8,58240.52,57218.57,-1.75
CHOP,2024-09-10 08:00:00+00:00,2024-09-13 04:00:00+00:00,2.8,57228.0,58109.31,1.54
LONG,2024-09-13 08:00:00+00:00,2024-09-25 12:00:00+00:00,12.2,57871.1,63495.66,9.72
CHOP,2024-09-25 16:00:00+00:00,2024-10-02 20:00:00+00:00,7.2,63181.5,60649.28,-4.01
SHORT,2024-10-03 00:00:00+00:00,2024-10-12 12:00:00+00:00,9.5,61463.99,63157.49,2.76
CHOP,2024-10-12 16:00:00+00:00,2024-10-16 00:00:00+00:00,3.3,63000.01,67095.98,6.5
LONG,2024-10-16 04:00:00+00:00,2024-10-22 12:00:00+00:00,6.3,66972.53,67282.27,0.46
CHOP,2024-10-22 16:00:00+00:00,2024-10-26 08:00:00+00:00,3.7,67482.98,67138.0,-0.51
SHORT,2024-10-26 12:00:00+00:00,2024-10-29 04:00:00+00:00,2.7,66886.49,71017.97,6.18
CHOP,2024-10-29 08:00:00+00:00,2024-10-29 08:00:00+00:00,0.0,71452.01,71452.01,0.0
LONG,2024-10-29 12:00:00+00:00,2024-11-01 12:00:00+00:00,3.0,72402.01,69387.77,-4.16
CHOP,2024-11-01 16:00:00+00:00,2024-11-02 16:00:00+00:00,1.0,69268.0,69510.0,0.35
SHORT,2024-11-02 20:00:00+00:00,2024-11-05 20:00:00+00:00,3.0,69374.74,69372.01,-0.0
VOL-OFF,2024-11-06 00:00:00+00:00,2024-11-07 16:00:00+00:00,1.7,74348.53,76530.39,2.93
LONG,2024-11-07 20:00:00+00:00,2024-11-12 04:00:00+00:00,4.3,75857.89,88983.35,17.3
VOL-OFF,2024-11-12 08:00:00+00:00,2024-11-13 04:00:00+00:00,0.8,87155.55,87356.0,0.23
LONG,2024-11-13 08:00:00+00:00,2024-11-13 08:00:00+00:00,0.0,87669.39,87669.39,0.0
VOL-OFF,2024-11-13 12:00:00+00:00,2024-11-13 20:00:00+00:00,0.3,92540.01,90375.2,-2.34
LONG,2024-11-14 00:00:00+00:00,2024-11-17 20:00:00+00:00,3.8,89937.02,89855.99,-0.09
CHOP,2024-11-18 00:00:00+00:00,2024-11-26 12:00:00+00:00,8.5,90668.58,92813.0,2.37
SHORT,2024-11-26 16:00:00+00:00,2024-12-05 16:00:00+00:00,9.0,91683.89,99028.0,8.01
VOL-OFF,2024-12-05 20:00:00+00:00,2024-12-07 00:00:00+00:00,1.2,96945.63,99299.63,2.43
SHORT,2024-12-07 04:00:00+00:00,2024-12-07 04:00:00+00:00,0.0,99405.2,99405.2,0.0
CHOP,2024-12-07 08:00:00+00:00,2024-12-09 08:00:00+00:00,2.0,99620.0,98088.47,-1.54
SHORT,2024-12-09 12:00:00+00:00,2024-12-12 08:00:00+00:00,2.8,97812.0,100358.42,2.6
CHOP,2024-12-12 12:00:00+00:00,2024-12-19 12:00:00+00:00,7.0,101797.14,100679.86,-1.1
SHORT,2024-12-19 16:00:00+00:00,2024-12-31 08:00:00+00:00,11.7,97199.72,94232.68,-3.05
CHOP,2024-12-31 12:00:00+00:00,2025-01-06 08:00:00+00:00,5.8,95412.0,99259.99,4.03
LONG,2025-01-06 12:00:00+00:00,2025-01-09 12:00:00+00:00,3.0,102147.95,94244.02,-7.74
SHORT,2025-01-09 16:00:00+00:00,2025-01-14 12:00:00+00:00,4.8,91909.59,96471.65,4.96
CHOP,2025-01-14 16:00:00+00:00,2025-01-14 20:00:00+00:00,0.2,96537.8,96560.86,0.02
LONG,2025-01-15 00:00:00+00:00,2025-01-20 08:00:00+00:00,5.3,97317.12,108239.19,11.22
VOL-OFF,2025-01-20 12:00:00+00:00,2025-01-22 00:00:00+00:00,1.5,104957.99,105600.01,0.61
LONG,2025-01-22 04:00:00+00:00,2025-01-24 04:00:00+00:00,2.0,105084.77,105046.8,-0.04
CHOP,2025-01-24 08:00:00+00:00,2025-02-02 04:00:00+00:00,8.8,105420.1,99643.3,-5.48
SHORT,2025-02-02 08:00:00+00:00,2025-02-10 20:00:00+00:00,8.5,98864.6,97430.82,-1.45
CHOP,2025-02-11 00:00:00+00:00,2025-02-20 16:00:00+00:00,9.7,97607.3,98422.8,0.84
LONG,2025-02-20 20:00:00+00:00,2025-02-24 20:00:00+00:00,4.0,98305.0,91552.88,-6.87
CHOP,2025-02-25 00:00:00+00:00,2025-02-25 04:00:00+00:00,0.2,92153.93,89320.01,-3.08
VOL-OFF,2025-02-25 08:00:00+00:00,2025-02-27 08:00:00+00:00,2.0,89239.39,86698.6,-2.85
SHORT,2025-02-27 12:00:00+00:00,2025-02-27 20:00:00+00:00,0.3,85500.84,84708.58,-0.93
VOL-OFF,2025-02-28 00:00:00+00:00,2025-02-28 16:00:00+00:00,0.7,80452.44,84449.99,4.97
SHORT,2025-02-28 20:00:00+00:00,2025-03-02 20:00:00+00:00,2.0,84349.94,94270.0,11.76
CHOP,2025-03-03 00:00:00+00:00,2025-03-06 12:00:00+00:00,3.5,92709.98,90820.69,-2.04
LONG,2025-03-06 16:00:00+00:00,2025-03-10 08:00:00+00:00,3.7,88526.18,83582.0,-5.58
SHORT,2025-03-10 12:00:00+00:00,2025-03-13 04:00:00+00:00,2.7,80043.85,83151.99,3.88
CHOP,2025-03-13 08:00:00+00:00,2025-03-13 12:00:00+00:00,0.2,82975.86,81044.72,-2.33
SHORT,2025-03-13 16:00:00+00:00,2025-03-13 20:00:00+00:00,0.2,80211.4,81115.78,1.13
CHOP,2025-03-14 00:00:00+00:00,2025-03-14 08:00:00+00:00,0.3,81888.77,83253.15,1.67
LONG,2025-03-14 12:00:00+00:00,2025-03-28 16:00:00+00:00,14.2,84724.58,83790.73,-1.1
CHOP,2025-03-28 20:00:00+00:00,2025-04-02 16:00:00+00:00,4.8,84424.38,86900.02,2.93
VOL-OFF,2025-04-02 20:00:00+00:00,2025-04-03 16:00:00+00:00,0.8,82516.29,82008.7,-0.62
CHOP,2025-04-03 20:00:00+00:00,2025-04-04 04:00:00+00:00,0.3,83213.09,83992.85,0.94
VOL-OFF,2025-04-04 08:00:00+00:00,2025-04-04 16:00:00+00:00,0.3,82680.45,84009.99,1.61
CHOP,2025-04-04 20:00:00+00:00,2025-04-07 08:00:00+00:00,2.5,83889.87,76685.62,-8.59
VOL-OFF,2025-04-07 12:00:00+00:00,2025-04-09 08:00:00+00:00,1.8,78479.9,76230.01,-2.87
SHORT,2025-04-09 12:00:00+00:00,2025-04-11 12:00:00+00:00,2.0,77258.0,82521.74,6.81
CHOP,2025-04-11 16:00:00+00:00,2025-04-12 00:00:00+00:00,0.3,83858.28,82973.13,-1.06
LONG,2025-04-12 04:00:00+00:00,2025-04-29 00:00:00+00:00,16.8,83724.92,94658.76,13.06
CHOP,2025-04-29 04:00:00+00:00,2025-05-06 20:00:00+00:00,7.7,94917.61,96834.02,2.02
SHORT,2025-05-07 00:00:00+00:00,2025-05-08 08:00:00+00:00,1.3,96506.9,99409.14,3.01
CHOP,2025-05-08 12:00:00+00:00,2025-05-09 00:00:00+00:00,0.5,100758.08,102451.04,1.68
LONG,2025-05-09 04:00:00+00:00,2025-05-13 20:00:00+00:00,4.7,103628.77,104103.72,0.46
CHOP,2025-05-14 00:00:00+00:00,2025-05-15 20:00:00+00:00,1.8,103587.44,103763.71,0.17
SHORT,2025-05-16 00:00:00+00:00,2025-05-21 20:00:00+00:00,5.8,104023.49,109643.99,5.4
CHOP,2025-05-22 00:00:00+00:00,2025-05-24 16:00:00+00:00,2.7,111780.84,108960.0,-2.52
SHORT,2025-05-24 20:00:00+00:00,2025-06-07 20:00:00+00:00,14.0,107761.91,105552.15,-2.05
CHOP,2025-06-08 00:00:00+00:00,2025-06-14 16:00:00+00:00,6.7,105471.59,104645.67,-0.78
SHORT,2025-06-14 20:00:00+00:00,2025-06-16 04:00:00+00:00,1.3,105414.64,107061.8,1.56
CHOP,2025-06-16 08:00:00+00:00,2025-06-18 00:00:00+00:00,1.7,106883.99,105184.84,-1.59
SHORT,2025-06-18 04:00:00+00:00,2025-06-23 12:00:00+00:00,5.3,104973.24,101420.7,-3.38
VOL-OFF,2025-06-23 16:00:00+00:00,2025-06-24 04:00:00+00:00,0.5,103161.29,104933.74,1.72
SHORT,2025-06-24 08:00:00+00:00,2025-06-24 08:00:00+00:00,0.0,105170.0,105170.0,0.0
CHOP,2025-06-24 12:00:00+00:00,2025-06-27 12:00:00+00:00,3.0,105244.73,107308.25,1.96
LONG,2025-06-27 16:00:00+00:00,2025-07-07 12:00:00+00:00,9.8,106801.02,108292.59,1.4
CHOP,2025-07-07 16:00:00+00:00,2025-07-09 16:00:00+00:00,2.0,108056.68,111750.0,3.42
LONG,2025-07-09 20:00:00+00:00,2025-07-11 12:00:00+00:00,1.7,111233.99,116902.59,5.1
VOL-OFF,2025-07-11 16:00:00+00:00,2025-07-11 20:00:00+00:00,0.2,118108.81,117527.66,-0.49
LONG,2025-07-12 00:00:00+00:00,2025-07-15 08:00:00+00:00,3.3,117774.42,117113.98,-0.56
VOL-OFF,2025-07-15 12:00:00+00:00,2025-07-16 00:00:00+00:00,0.5,116391.43,117482.67,0.94
LONG,2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,1.0,118189.25,118311.75,0.1
CHOP,2025-07-17 08:00:00+00:00,2025-07-25 00:00:00+00:00,7.7,117995.0,115419.66,-2.18
SHORT,2025-07-25 04:00:00+00:00,2025-08-07 04:00:00+00:00,13.0,115320.01,114787.99,-0.46
CHOP,2025-08-07 08:00:00+00:00,2025-08-13 04:00:00+00:00,5.8,116519.53,119580.4,2.63
LONG,2025-08-13 08:00:00+00:00,2025-08-14 12:00:00+00:00,1.2,120570.41,118257.25,-1.92
VOL-OFF,2025-08-14 16:00:00+00:00,2025-08-14 16:00:00+00:00,0.0,117945.92,117945.92,0.0
LONG,2025-08-14 20:00:00+00:00,2025-08-16 16:00:00+00:00,1.8,118295.09,117672.12,-0.53
CHOP,2025-08-16 20:00:00+00:00,2025-08-17 00:00:00+00:00,0.2,117380.66,117684.95,0.26
SHORT,2025-08-17 04:00:00+00:00,2025-08-26 16:00:00+00:00,9.5,118005.98,111116.03,-5.84
VOL-OFF,2025-08-26 20:00:00+00:00,2025-08-26 20:00:00+00:00,0.0,111763.22,111763.22,0.0
SHORT,2025-08-27 00:00:00+00:00,2025-08-28 16:00:00+00:00,1.7,111418.15,111901.36,0.43
CHOP,2025-08-28 20:00:00+00:00,2025-08-29 00:00:00+00:00,0.2,112566.9,111704.23,-0.77
SHORT,2025-08-29 04:00:00+00:00,2025-09-01 16:00:00+00:00,3.5,110019.38,109217.64,-0.73
CHOP,2025-09-01 20:00:00+00:00,2025-09-05 16:00:00+00:00,3.8,109237.42,111614.54,2.18
LONG,2025-09-05 20:00:00+00:00,2025-09-19 12:00:00+00:00,13.7,110659.99,115884.03,4.72
CHOP,2025-09-19 16:00:00+00:00,2025-09-25 12:00:00+00:00,5.8,115125.12,111580.77,-3.08
SHORT,2025-09-25 16:00:00+00:00,2025-09-30 00:00:00+00:00,4.3,109360.0,114376.39,4.59
CHOP,2025-09-30 04:00:00+00:00,2025-10-01 08:00:00+00:00,1.2,113699.23,116789.58,2.72
LONG,2025-10-01 12:00:00+00:00,2025-10-09 12:00:00+00:00,8.0,117423.73,121147.14,3.17
VOL-OFF,2025-10-09 16:00:00+00:00,2025-10-09 16:00:00+00:00,0.0,120951.72,120951.72,0.0
CHOP,2025-10-09 20:00:00+00:00,2025-10-10 12:00:00+00:00,0.7,121662.4,119018.98,-2.17
VOL-OFF,2025-10-10 16:00:00+00:00,2025-10-12 16:00:00+00:00,2.0,116661.5,114342.28,-1.99
SHORT,2025-10-12 20:00:00+00:00,2025-10-21 00:00:00+00:00,8.2,114958.8,109059.22,-5.13
CHOP,2025-10-21 04:00:00+00:00,2025-10-27 08:00:00+00:00,6.2,108086.37,115362.02,6.73
LONG,2025-10-27 12:00:00+00:00,2025-11-01 12:00:00+00:00,5.0,114969.68,110310.65,-4.05
CHOP,2025-11-01 16:00:00+00:00,2025-11-02 04:00:00+00:00,0.5,110299.99,110895.53,0.54
LONG,2025-11-02 08:00:00+00:00,2025-11-02 20:00:00+00:00,0.5,111196.99,110540.68,-0.59
CHOP,2025-11-03 00:00:00+00:00,2025-11-03 12:00:00+00:00,0.5,107937.45,105745.71,-2.03
SHORT,2025-11-03 16:00:00+00:00,2025-11-10 00:00:00+00:00,6.3,107090.0,106027.97,-0.99
CHOP,2025-11-10 04:00:00+00:00,2025-11-14 04:00:00+00:00,4.0,106461.45,97151.98,-8.74
SHORT,2025-11-14 08:00:00+00:00,2025-11-21 00:00:00+00:00,6.7,96167.44,85821.34,-10.76
VOL-OFF,2025-11-21 04:00:00+00:00,2025-11-22 04:00:00+00:00,1.0,84049.39,84580.06,0.63
SHORT,2025-11-22 08:00:00+00:00,2025-11-24 04:00:00+00:00,1.8,84098.94,87050.39,3.51
CHOP,2025-11-24 08:00:00+00:00,2025-11-27 12:00:00+00:00,3.2,86264.72,90958.3,5.44
LONG,2025-11-27 16:00:00+00:00,2025-12-12 08:00:00+00:00,14.7,91528.21,92418.19,0.97
CHOP,2025-12-12 12:00:00+00:00,2025-12-22 04:00:00+00:00,9.7,89935.14,89170.1,-0.85
LONG,2025-12-22 08:00:00+00:00,2025-12-23 16:00:00+00:00,1.3,89945.43,87752.87,-2.44
CHOP,2025-12-23 20:00:00+00:00,2025-12-26 00:00:00+00:00,2.2,87486.0,88844.87,1.55
LONG,2025-12-26 04:00:00+00:00,2025-12-26 16:00:00+00:00,0.5,88470.75,87501.83,-1.1
CHOP,2025-12-26 20:00:00+00:00,2025-12-28 08:00:00+00:00,1.5,87369.56,87883.25,0.59
LONG,2025-12-28 12:00:00+00:00,2025-12-28 12:00:00+00:00,0.0,87836.27,87836.27,0.0
CHOP,2025-12-28 16:00:00+00:00,2025-12-28 16:00:00+00:00,0.0,87520.75,87520.75,0.0
LONG,2025-12-28 20:00:00+00:00,2026-01-08 16:00:00+00:00,10.8,87952.71,90937.41,3.39
CHOP,2026-01-08 20:00:00+00:00,2026-01-14 00:00:00+00:00,5.2,91099.99,95720.99,5.07
LONG,2026-01-14 04:00:00+00:00,2026-01-18 08:00:00+00:00,4.2,95205.1,95168.06,-0.04
CHOP,2026-01-18 12:00:00+00:00,2026-01-20 08:00:00+00:00,1.8,95119.28,91218.99,-4.1
SHORT,2026-01-20 12:00:00+00:00,2026-01-30 08:00:00+00:00,9.8,90684.95,83151.36,-8.31
VOL-OFF,2026-01-30 12:00:00+00:00,2026-01-30 16:00:00+00:00,0.2,82883.94,84242.99,1.64
SHORT,2026-01-30 20:00:00+00:00,2026-01-31 12:00:00+00:00,0.7,84260.49,81302.15,-3.51
VOL-OFF,2026-01-31 16:00:00+00:00,2026-02-01 04:00:00+00:00,0.5,77750.01,78343.0,0.76
SHORT,2026-02-01 08:00:00+00:00,2026-02-05 12:00:00+00:00,4.2,78743.56,67489.07,-14.29
VOL-OFF,2026-02-05 16:00:00+00:00,2026-02-06 20:00:00+00:00,1.2,65265.65,70580.26,8.14
SHORT,2026-02-07 00:00:00+00:00,2026-02-07 00:00:00+00:00,0.0,70918.99,70918.99,0.0
VOL-OFF,2026-02-07 04:00:00+00:00,2026-02-07 04:00:00+00:00,0.0,68087.14,68087.14,0.0
SHORT,2026-02-07 08:00:00+00:00,2026-02-08 20:00:00+00:00,1.5,67972.65,70330.38,3.47
CHOP,2026-02-09 00:00:00+00:00,2026-02-17 04:00:00+00:00,8.2,71307.56,68388.12,-4.09
LONG,2026-02-17 08:00:00+00:00,2026-03-07 20:00:00+00:00,18.5,67854.6,67262.91,-0.87
CHOP,2026-03-08 00:00:00+00:00,2026-03-13 08:00:00+00:00,5.3,67000.26,72228.82,7.8
LONG,2026-03-13 12:00:00+00:00,2026-03-14 00:00:00+00:00,0.5,71831.46,71081.3,-1.04
CHOP,2026-03-14 04:00:00+00:00,2026-03-16 00:00:00+00:00,1.8,70596.68,73573.32,4.22
LONG,2026-03-16 04:00:00+00:00,2026-03-18 12:00:00+00:00,2.3,73456.68,71467.82,-2.71
CHOP,2026-03-18 16:00:00+00:00,2026-03-26 04:00:00+00:00,7.5,71072.38,70087.44,-1.39
SHORT,2026-03-26 08:00:00+00:00,2026-04-03 20:00:00+00:00,8.5,69276.01,66964.3,-3.34
CHOP,2026-04-04 00:00:00+00:00,2026-04-08 20:00:00+00:00,4.8,66832.18,71069.93,6.34
LONG,2026-04-09 00:00:00+00:00,2026-04-19 16:00:00+00:00,10.7,70992.39,74965.47,5.6
CHOP,2026-04-19 20:00:00+00:00,2026-04-28 04:00:00+00:00,8.3,73801.79,76879.28,4.17
SHORT,2026-04-28 08:00:00+00:00,2026-05-04 16:00:00+00:00,6.3,76229.0,80053.31,5.02
CHOP,2026-05-04 20:00:00+00:00,2026-05-08 12:00:00+00:00,3.7,79861.01,80142.14,0.35
SHORT,2026-05-08 16:00:00+00:00,2026-05-25 00:00:00+00:00,16.3,80179.94,77026.67,-3.93
CHOP,2026-05-25 04:00:00+00:00,2026-05-28 00:00:00+00:00,2.8,77401.12,73258.01,-5.35
SHORT,2026-05-28 04:00:00+00:00,2026-05-29 12:00:00+00:00,1.3,73498.0,73808.26,0.42
VOL-OFF,2026-05-29 16:00:00+00:00,2026-05-29 16:00:00+00:00,0.0,73520.28,73520.28,0.0
SHORT,2026-05-29 20:00:00+00:00,2026-05-31 08:00:00+00:00,1.5,73460.78,73937.79,0.65
CHOP,2026-05-31 12:00:00+00:00,2026-06-01 08:00:00+00:00,0.8,73655.21,72479.99,-1.6
SHORT,2026-06-01 12:00:00+00:00,2026-06-02 08:00:00+00:00,0.8,71129.62,69461.72,-2.34
VOL-OFF,2026-06-02 12:00:00+00:00,2026-06-05 16:00:00+00:00,3.2,67304.28,60392.37,-10.27
