mode,start,end,days,start_px,end_px,net_pct
CHOP,2024-08-22 20:00:00+00:00,2024-08-23 12:00:00+00:00,0.7,0.6,0.6,0.27
LONG,2024-08-23 16:00:00+00:00,2024-08-27 00:00:00+00:00,3.3,0.61,0.59,-2.37
CHOP,2024-08-27 04:00:00+00:00,2024-08-27 16:00:00+00:00,0.5,0.59,0.59,0.32
SHORT,2024-08-27 20:00:00+00:00,2024-09-10 04:00:00+00:00,13.3,0.57,0.54,-4.85
CHOP,2024-09-10 08:00:00+00:00,2024-09-14 00:00:00+00:00,3.7,0.54,0.58,7.19
LONG,2024-09-14 04:00:00+00:00,2024-09-23 20:00:00+00:00,9.7,0.58,0.58,0.97
CHOP,2024-09-24 00:00:00+00:00,2024-09-28 20:00:00+00:00,4.8,0.59,0.61,4.85
LONG,2024-09-29 00:00:00+00:00,2024-09-29 08:00:00+00:00,0.3,0.61,0.62,1.81
VOL-OFF,2024-09-29 12:00:00+00:00,2024-10-03 20:00:00+00:00,4.3,0.66,0.52,-20.89
SHORT,2024-10-04 00:00:00+00:00,2024-10-11 08:00:00+00:00,7.3,0.52,0.54,2.08
CHOP,2024-10-11 12:00:00+00:00,2024-10-18 00:00:00+00:00,6.5,0.54,0.54,0.97
LONG,2024-10-18 04:00:00+00:00,2024-10-23 16:00:00+00:00,5.5,0.55,0.52,-5.09
CHOP,2024-10-23 20:00:00+00:00,2024-10-26 04:00:00+00:00,2.3,0.53,0.51,-2.23
SHORT,2024-10-26 08:00:00+00:00,2024-10-29 12:00:00+00:00,3.2,0.51,0.53,2.24
CHOP,2024-10-29 16:00:00+00:00,2024-10-29 16:00:00+00:00,0.0,0.53,0.53,0.0
LONG,2024-10-29 20:00:00+00:00,2024-11-02 20:00:00+00:00,4.0,0.53,0.51,-3.43
CHOP,2024-11-03 00:00:00+00:00,2024-11-05 04:00:00+00:00,2.2,0.5,0.51,2.53
LONG,2024-11-05 08:00:00+00:00,2024-11-06 20:00:00+00:00,1.5,0.51,0.54,6.4
VOL-OFF,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,1.0,0.56,0.55,-1.79
LONG,2024-11-08 04:00:00+00:00,2024-11-10 16:00:00+00:00,2.5,0.55,0.6,8.21
VOL-OFF,2024-11-10 20:00:00+00:00,2024-11-14 12:00:00+00:00,3.7,0.59,0.71,21.28
LONG,2024-11-14 16:00:00+00:00,2024-11-16 16:00:00+00:00,2.0,0.79,1.19,50.11
VOL-OFF,2024-11-16 20:00:00+00:00,2024-11-17 08:00:00+00:00,0.5,1.12,1.04,-7.52
LONG,2024-11-17 12:00:00+00:00,2024-11-17 12:00:00+00:00,0.0,1.08,1.08,0.0
VOL-OFF,2024-11-17 16:00:00+00:00,2024-11-17 16:00:00+00:00,0.0,1.04,1.04,0.0
LONG,2024-11-17 20:00:00+00:00,2024-11-25 20:00:00+00:00,8.0,1.05,1.41,34.14
CHOP,2024-11-26 00:00:00+00:00,2024-11-30 08:00:00+00:00,4.3,1.45,1.9,31.08
LONG,2024-11-30 12:00:00+00:00,2024-12-03 08:00:00+00:00,2.8,1.88,2.85,51.78
VOL-OFF,2024-12-03 12:00:00+00:00,2024-12-04 00:00:00+00:00,0.5,2.52,2.54,0.78
LONG,2024-12-04 04:00:00+00:00,2024-12-06 00:00:00+00:00,1.8,2.62,2.31,-11.92
CHOP,2024-12-06 04:00:00+00:00,2024-12-10 20:00:00+00:00,4.7,2.32,2.37,2.21
SHORT,2024-12-11 00:00:00+00:00,2024-12-29 00:00:00+00:00,18.0,2.3,2.19,-4.91
CHOP,2024-12-29 04:00:00+00:00,2024-12-30 08:00:00+00:00,1.2,2.2,2.08,-5.49
SHORT,2024-12-30 12:00:00+00:00,2024-12-31 08:00:00+00:00,0.8,2.02,2.08,2.51
CHOP,2024-12-31 12:00:00+00:00,2025-01-13 12:00:00+00:00,13.0,2.13,2.47,15.88
LONG,2025-01-13 16:00:00+00:00,2025-01-15 20:00:00+00:00,2.2,2.46,3.14,27.58
VOL-OFF,2025-01-16 00:00:00+00:00,2025-01-17 04:00:00+00:00,1.2,3.04,3.3,8.64
LONG,2025-01-17 08:00:00+00:00,2025-01-17 08:00:00+00:00,0.0,3.3,3.3,0.0
VOL-OFF,2025-01-17 12:00:00+00:00,2025-01-17 12:00:00+00:00,0.0,3.2,3.2,0.0
LONG,2025-01-17 16:00:00+00:00,2025-01-21 20:00:00+00:00,4.2,3.23,3.17,-1.88
CHOP,2025-01-22 00:00:00+00:00,2025-01-28 00:00:00+00:00,6.0,3.18,3.09,-2.8
SHORT,2025-01-28 04:00:00+00:00,2025-02-02 20:00:00+00:00,5.7,3.11,2.58,-16.91
VOL-OFF,2025-02-03 00:00:00+00:00,2025-02-04 20:00:00+00:00,1.8,2.26,2.53,11.89
SHORT,2025-02-05 00:00:00+00:00,2025-02-10 08:00:00+00:00,5.3,2.51,2.43,-3.1
CHOP,2025-02-10 12:00:00+00:00,2025-02-16 16:00:00+00:00,6.2,2.42,2.73,12.57
LONG,2025-02-16 20:00:00+00:00,2025-02-24 00:00:00+00:00,7.2,2.73,2.49,-8.73
CHOP,2025-02-24 04:00:00+00:00,2025-02-25 00:00:00+00:00,0.8,2.49,2.28,-8.44
VOL-OFF,2025-02-25 04:00:00+00:00,2025-02-27 00:00:00+00:00,1.8,2.15,2.2,2.39
SHORT,2025-02-27 04:00:00+00:00,2025-03-02 12:00:00+00:00,3.3,2.22,2.6,16.89
CHOP,2025-03-02 16:00:00+00:00,2025-03-02 20:00:00+00:00,0.2,2.87,2.94,2.37
LONG,2025-03-03 00:00:00+00:00,2025-03-03 08:00:00+00:00,0.3,2.79,2.63,-5.72
VOL-OFF,2025-03-03 12:00:00+00:00,2025-03-04 16:00:00+00:00,1.2,2.6,2.49,-4.0
LONG,2025-03-04 20:00:00+00:00,2025-03-09 12:00:00+00:00,4.7,2.45,2.19,-10.96
CHOP,2025-03-09 16:00:00+00:00,2025-03-14 08:00:00+00:00,4.7,2.16,2.32,7.05
LONG,2025-03-14 12:00:00+00:00,2025-03-26 16:00:00+00:00,12.2,2.36,2.37,0.57
CHOP,2025-03-26 20:00:00+00:00,2025-03-30 20:00:00+00:00,4.0,2.35,2.14,-9.04
SHORT,2025-03-31 00:00:00+00:00,2025-04-05 16:00:00+00:00,5.7,2.08,2.12,1.84
CHOP,2025-04-05 20:00:00+00:00,2025-04-06 16:00:00+00:00,0.8,2.14,2.0,-6.94
