direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1715776200000,2024-05-15T12:30:00.000000000,2942.01,1.531,1,4.97,288.1,0.4932,1.362,3.7814,8.2e-05,0.172,-3047.0,0.5192,0.246,-910.1,0.5161,0.144,4738.0,0.5175,0.865,-60.4,0.5089,1.733,0,59,whipsaw,1.617
up,1715930040000,2024-05-17T07:14:00.000000000,3003.26,1.735,1,5.1,-2283.5,0.5338,1.367,2.8103,5.3e-05,0.152,-2230.7,0.4997,0.861,-1194.4,0.5202,0.839,120.6,0.5146,1.453,9853.1,0.4987,1.874,-1,56,trend,3.147
up,1715949960000,2024-05-17T12:46:00.000000000,3068.21,1.566,1,3.55,12064.6,0.5981,1.333,2.9724,8.5e-05,0.223,2442.6,0.5851,0.331,16416.9,0.5438,0.414,19009.0,0.4756,-0.237,15218.8,0.4607,1.688,-1,156,trend,1.893
up,1716232920000,2024-05-20T19:22:00.000000000,3213.05,1.937,4,6.19,-940.3,0.4183,1.262,3.9721,4.6e-05,3.357,41231.6,0.5785,7.172,70209.7,0.5661,5.999,71605.4,0.5247,6.921,95108.3,0.5207,14.637,-1,1,trend,16.094
up,1716291000000,2024-05-21T11:30:00.000000000,3771.12,1.581,1,3.02,9546.9,0.5121,1.529,6.6169,0.000194,0.471,2399.0,0.5057,0.531,4220.9,0.4849,0.146,8690.0,0.4707,0.401,12645.5,0.4812,1.72,-1,18,trend,-1.021
down,1716294060000,2024-05-21T12:21:00.000000000,3750.95,-1.67,1,2.86,2661.3,0.4613,1.564,5.4172,0.000194,0.889,4924.7,0.4945,0.251,2896.7,0.4833,0.844,3014.1,0.4924,0.961,6248.5,0.4752,-0.063,3,-1,whipsaw,1.007
up,1716309060000,2024-05-21T16:31:00.000000000,3828.39,1.613,1,1.92,8504.2,0.537,1.815,6.0217,0.0001,-0.735,14779.4,0.4748,-1.284,4259.9,0.4694,-1.382,-4718.0,0.4962,-1.748,-23937.9,0.4896,0.343,5,-1,whipsaw,-1.838
down,1716353100000,2024-05-22T04:45:00.000000000,3723.61,-1.712,1,2.13,-11257.5,0.4724,1.759,2.9469,0.000125,0.308,-1915.4,0.4911,0.716,296.7,0.4547,0.752,3040.8,0.4257,1.021,3767.8,0.4577,-0.097,46,-1,whipsaw,-1.911
down,1716382200000,2024-05-22T12:50:00.000000000,3661.64,-1.537,1,3.31,-3026.8,0.4441,2.053,5.7248,0.000152,0.151,91.6,0.4751,0.571,-4020.5,0.4884,0.986,-6307.0,0.5022,0.758,-5199.1,0.4814,-0.232,27,-1,whipsaw,-7.46
up,1716466080000,2024-05-23T12:08:00.000000000,3941.0,1.859,1,4.43,-153.5,0.5211,1.634,4.9531,0.0001,-0.359,1434.5,0.4824,-0.155,2363.6,0.4882,-0.033,5299.9,0.4849,-2.186,-19109.2,0.4817,0.21,48,-1,whipsaw,-5.809
