direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1716233580000,2024-05-20T19:33:00.000000000,0.53,1.567,1,9.42,28409.0,0.5114,1.973,0.0007,0.0001,0.113,346819.0,0.517,0.151,2542362.0,0.5262,0.696,3115110.0,0.5271,0.0,3043032.0,0.4843,1.054,-1,231,trend,0.64
up,1716304440000,2024-05-21T15:14:00.000000000,0.56,1.754,1,3.33,3956704.0,0.5215,1.683,0.0011,0.0001,-0.718,3401489.0,0.4769,-0.215,1872866.0,0.5284,-1.544,1270021.0,0.5016,-2.155,-2175744.0,0.4899,0.036,19,-1,whipsaw,-4.381
down,1716306240000,2024-05-21T15:44:00.000000000,0.55,-1.544,1,2.29,1270021.0,0.5016,1.577,0.0005,0.0001,-0.201,-728454.0,0.5004,-1.058,-1567927.0,0.438,-0.62,-3445765.0,0.4786,-0.985,-5097210.0,0.4417,-2.663,-1,11,trend,2.189
up,1716471900000,2024-05-23T13:45:00.000000000,0.55,3.867,1,9.8,2645901.0,0.4884,1.479,0.0012,0.0001,-4.438,-729804.0,0.5042,-3.374,-5718317.0,0.5152,-1.467,-3028620.0,0.5399,-2.311,-1942065.0,0.5105,0.642,0,-1,whipsaw,-1.504
down,1716487800000,2024-05-23T18:10:00.000000000,0.52,-1.876,2,3.28,-3601248.0,0.5061,1.562,0.0007,0.0001,0.463,-1186333.0,0.488,0.212,-2514267.0,0.5007,0.27,-3049634.0,0.5254,0.29,-2985680.0,0.5316,-2.935,2,110,whipsaw,-2.838
up,1716500760000,2024-05-23T21:46:00.000000000,0.53,1.997,1,3.81,-1441223.0,0.4766,1.687,0.0008,0.0001,0.323,-471804.0,0.487,0.703,-638068.0,0.4856,0.095,-493978.0,0.4881,-0.076,-128169.0,0.4817,1.122,-1,226,trend,1.483
up,1716548700000,2024-05-24T11:05:00.000000000,0.53,1.572,1,2.79,1635896.0,0.6165,1.584,0.0004,0.0001,0.094,166861.0,0.6348,0.302,392377.0,0.5503,-0.378,299928.0,0.4984,-0.321,52752.0,0.4658,1.473,-1,154,trend,2.039
down,1716862020000,2024-05-28T02:07:00.000000000,0.53,-1.569,1,6.03,1239219.0,0.4323,1.428,0.0012,0.0001,0.19,681359.0,0.5097,0.569,728009.0,0.4922,0.759,1120530.0,0.5013,0.304,2258108.0,0.4169,-1.12,-1,147,trend,0.38
down,1717050660000,2024-05-30T06:31:00.000000000,0.52,-1.558,1,4.73,-677973.0,0.4154,1.365,0.0005,0.000115,-0.058,-1773432.0,0.4012,0.174,-1236993.0,0.3133,0.097,-2063937.0,0.3668,0.077,-2549662.0,0.4076,-1.023,-1,96,trend,-0.135
down,1717783200000,2024-06-07T18:00:00.000000000,0.5,-3.335,1,5.74,-2854990.0,0.5053,1.271,0.0006,0.000308,-6.56,-17653843.0,0.4254,-6.72,-18733853.0,0.4889,-4.148,-24160383.0,0.4922,-2.333,-20932235.0,0.4627,-10.11,0,1,whipsaw,1.555
