n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
1522,52.0,-0.117,"{2024: np.float64(-0.19), 2025: np.float64(-0.061), 2026: np.float64(-0.055)}",0,SMA,close,7,12,—,False
771,50.8,-0.109,"{2024: np.float64(-0.206), 2025: np.float64(-0.107), 2026: np.float64(0.188)}",1,SMA,close,7,12,MA200,False
1410,51.9,-0.12,"{2024: np.float64(-0.224), 2025: np.float64(-0.041), 2026: np.float64(-0.031)}",0,SMA,close,7,13,—,False
711,52.5,-0.045,"{2024: np.float64(-0.143), 2025: np.float64(-0.018), 2026: np.float64(0.178)}",1,SMA,close,7,13,MA200,False
1343,50.0,-0.171,"{2024: np.float64(-0.254), 2025: np.float64(-0.114), 2026: np.float64(-0.08)}",0,SMA,close,7,14,—,False
688,49.6,-0.136,"{2024: np.float64(-0.184), 2025: np.float64(-0.161), 2026: np.float64(0.08)}",1,SMA,close,7,14,MA200,False
1017,51.6,-0.109,"{2024: np.float64(-0.213), 2025: np.float64(-0.06), 2026: np.float64(0.071)}",1,SMA,close,7,21,—,False
513,51.9,-0.048,"{2024: np.float64(-0.139), 2025: np.float64(-0.042), 2026: np.float64(0.226)}",1,SMA,close,7,21,MA200,False
735,49.5,-0.244,"{2024: np.float64(-0.291), 2025: np.float64(-0.264), 2026: np.float64(-0.039)}",0,SMA,close,7,34,—,False
392,48.5,-0.285,"{2024: np.float64(-0.352), 2025: np.float64(-0.345), 2026: np.float64(0.112)}",1,SMA,close,7,34,MA200,False
538,47.6,-0.202,"{2024: np.float64(-0.282), 2025: np.float64(-0.243), 2026: np.float64(0.161)}",1,SMA,close,7,55,—,False
298,45.6,-0.247,"{2024: np.float64(-0.257), 2025: np.float64(-0.4), 2026: np.float64(0.264)}",1,SMA,close,7,55,MA200,False
438,48.4,-0.232,"{2024: np.float64(-0.306), 2025: np.float64(-0.313), 2026: np.float64(0.324)}",1,SMA,close,7,77,—,False
258,45.3,-0.392,"{2024: np.float64(-0.543), 2025: np.float64(-0.403), 2026: np.float64(0.174)}",1,SMA,close,7,77,MA200,False
424,47.6,-0.192,"{2024: np.float64(-0.247), 2025: np.float64(-0.347), 2026: np.float64(0.638)}",1,SMA,close,7,89,—,False
260,45.8,-0.383,"{2024: np.float64(-0.428), 2025: np.float64(-0.592), 2026: np.float64(0.695)}",1,SMA,close,7,89,MA200,False
386,49.0,-0.202,"{2024: np.float64(-0.203), 2025: np.float64(-0.318), 2026: np.float64(0.229)}",1,SMA,close,7,100,—,False
241,48.5,-0.287,"{2024: np.float64(-0.319), 2025: np.float64(-0.447), 2026: np.float64(0.399)}",1,SMA,close,7,100,MA200,False
260,47.3,-0.21,"{2024: np.float64(-0.118), 2025: np.float64(-0.327), 2026: np.float64(-0.064)}",0,SMA,close,7,200,—,False
218,47.2,-0.224,"{2024: np.float64(-0.162), 2025: np.float64(-0.308), 2026: np.float64(-0.092)}",0,SMA,close,7,200,MA200,False
409,52.8,0.013,"{2024: np.float64(-0.012), 2025: np.float64(0.017), 2026: np.float64(0.079)}",2,SMA,close,12,13,—,False
214,50.5,-0.244,"{2024: np.float64(-0.172), 2025: np.float64(-0.377), 2026: np.float64(-0.164)}",0,SMA,close,12,13,MA200,False
830,49.5,-0.165,"{2024: np.float64(-0.154), 2025: np.float64(-0.266), 2026: np.float64(0.042)}",1,SMA,close,12,14,—,False
431,48.7,-0.203,"{2024: np.float64(-0.228), 2025: np.float64(-0.361), 2026: np.float64(0.265)}",1,SMA,close,12,14,MA200,False
864,51.3,-0.114,"{2024: np.float64(-0.195), 2025: np.float64(-0.078), 2026: np.float64(0.037)}",1,SMA,close,12,21,—,False
451,48.1,-0.129,"{2024: np.float64(-0.217), 2025: np.float64(-0.069), 2026: np.float64(-0.04)}",0,SMA,close,12,21,MA200,False
613,48.0,-0.284,"{2024: np.float64(-0.3), 2025: np.float64(-0.365), 2026: np.float64(0.013)}",1,SMA,close,12,34,—,False
333,46.2,-0.32,"{2024: np.float64(-0.284), 2025: np.float64(-0.5), 2026: np.float64(0.11)}",1,SMA,close,12,34,MA200,False
430,46.5,-0.237,"{2024: np.float64(-0.275), 2025: np.float64(-0.38), 2026: np.float64(0.369)}",1,SMA,close,12,55,—,False
248,42.3,-0.415,"{2024: np.float64(-0.418), 2025: np.float64(-0.583), 2026: np.float64(0.329)}",1,SMA,close,12,55,MA200,False
342,48.2,-0.229,"{2024: np.float64(-0.088), 2025: np.float64(-0.517), 2026: np.float64(0.414)}",1,SMA,close,12,77,—,False
217,46.5,-0.265,"{2024: np.float64(-0.082), 2025: np.float64(-0.625), 2026: np.float64(0.726)}",1,SMA,close,12,77,MA200,False
327,49.5,-0.26,"{2024: np.float64(-0.305), 2025: np.float64(-0.407), 2026: np.float64(0.503)}",1,SMA,close,12,89,—,False
208,46.2,-0.377,"{2024: np.float64(-0.275), 2025: np.float64(-0.641), 2026: np.float64(0.399)}",1,SMA,close,12,89,MA200,False
293,46.4,-0.24,"{2024: np.float64(-0.174), 2025: np.float64(-0.412), 2026: np.float64(0.252)}",1,SMA,close,12,100,—,False
195,44.6,-0.371,"{2024: np.float64(-0.402), 2025: np.float64(-0.517), 2026: np.float64(0.3)}",1,SMA,close,12,100,MA200,False
203,45.8,-0.288,"{2024: np.float64(-0.18), 2025: np.float64(-0.504), 2026: np.float64(0.144)}",1,SMA,close,12,200,—,False
179,46.9,-0.297,"{2024: np.float64(-0.14), 2025: np.float64(-0.552), 2026: np.float64(0.159)}",1,SMA,close,12,200,MA200,False
312,52.2,-0.108,"{2024: np.float64(-0.111), 2025: np.float64(-0.121), 2026: np.float64(-0.067)}",0,SMA,close,13,14,—,False
165,47.3,-0.408,"{2024: np.float64(-0.27), 2025: np.float64(-0.756), 2026: np.float64(-0.005)}",0,SMA,close,13,14,MA200,False
