direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1715776200000,2024-05-15T12:30:00.000000000,63630.45,1.884,2,7.98,57.9,0.417,1.405,89.0421,-4e-06,0.139,-738.3,0.5176,0.188,-144.8,0.4935,0.254,-215.2,0.4807,0.875,-85.0,0.4867,2.388,0,59,whipsaw,4.028
up,1716233520000,2024-05-20T19:32:00.000000000,69799.27,1.63,1,11.11,-1316.9,0.4698,1.627,81.9262,2.6e-05,0.23,-696.9,0.5252,0.011,-970.2,0.525,0.537,-1329.9,0.5258,-0.425,-1703.2,0.5274,2.437,96,225,whipsaw,-0.772
up,1716247320000,2024-05-20T23:22:00.000000000,70715.18,1.537,1,3.64,98.7,0.5903,1.529,45.8969,2.6e-05,0.711,-264.4,0.5989,1.083,305.7,0.5644,1.079,904.9,0.5156,1.182,379.3,0.5075,1.787,-1,6,trend,-0.645
down,1716472200000,2024-05-23T13:50:00.000000000,67933.51,-1.959,1,7.95,-453.9,0.4668,1.696,81.451,0.0001,0.145,411.4,0.512,0.191,843.8,0.5508,0.241,1044.4,0.5357,-0.085,1377.1,0.5148,-0.475,-1,-1,partial,1.162
down,1716861720000,2024-05-28T02:02:00.000000000,68457.55,-1.512,1,5.18,959.7,0.4432,1.291,94.2869,0.0001,0.033,333.0,0.3691,0.325,85.5,0.3925,0.435,128.6,0.404,0.383,300.9,0.4327,-1.418,-1,94,trend,-0.247
down,1717426500000,2024-06-03T14:55:00.000000000,68610.45,-1.646,1,7.04,324.8,0.4879,1.589,66.7714,0.000141,0.356,-248.3,0.5089,0.801,-456.7,0.5639,0.714,-455.1,0.5181,1.011,-495.0,0.5082,-0.161,17,-1,whipsaw,-1.618
down,1717763820000,2024-06-07T12:37:00.000000000,70722.04,-1.602,1,9.75,-773.8,0.5285,1.613,126.3469,0.0001,0.114,190.2,0.5142,0.289,37.2,0.4395,0.676,116.8,0.4445,0.862,1217.9,0.4476,-0.126,65,-1,whipsaw,1.995
down,1717783440000,2024-06-07T18:04:00.000000000,69111.0,-1.831,1,9.39,-276.3,0.5071,1.635,83.0707,0.000102,0.387,-789.0,0.468,-0.32,-1867.0,0.4564,-0.027,-1480.3,0.4745,-0.233,-887.9,0.4518,-1.0,-1,-1,partial,-0.505
down,1718072280000,2024-06-11T02:18:00.000000000,67960.95,-2.074,1,13.5,-617.0,0.428,1.307,123.9883,0.0001,0.331,-484.1,0.4605,0.207,-63.5,0.4799,0.504,788.8,0.5339,0.513,531.6,0.5606,-0.506,-1,-1,partial,0.672
up,1718195400000,2024-06-12T12:30:00.000000000,69094.0,1.999,1,3.8,24.7,0.6346,1.103,71.2348,0.0001,0.129,-40.0,0.5866,0.462,641.7,0.516,0.514,1181.2,0.5372,0.117,1060.6,0.5039,1.31,0,112,whipsaw,-1.258
down,1718221620000,2024-06-12T19:47:00.000000000,67590.05,-2.219,1,7.46,-845.4,0.4357,1.658,105.6883,0.0001,-0.188,-33.8,0.4315,-0.187,-82.1,0.4689,0.345,30.7,0.517,0.914,-668.4,0.5455,-0.503,55,-1,whipsaw,1.222
down,1718381340000,2024-06-14T16:09:00.000000000,65807.43,-1.562,1,8.07,-258.1,0.4282,1.638,61.3566,0.0001,0.067,-1438.2,0.4774,-0.143,-1040.3,0.4505,-0.686,-746.4,0.4478,-0.759,-941.5,0.4624,-1.108,-1,55,trend,-0.809
down,1718675040000,2024-06-18T01:44:00.000000000,64641.71,-1.644,1,7.54,492.7,0.4467,1.459,126.8631,0.0001,0.335,-1202.8,0.4749,0.762,-1089.7,0.5031,0.335,-585.7,0.4702,1.031,-435.6,0.5031,-0.112,42,-1,whipsaw,-0.509
down,1719221400000,2024-06-24T09:30:00.000000000,61877.96,-1.54,1,8.21,157.8,0.5287,1.408,71.5207,0.0001,-1.226,-2606.6,0.3989,-1.126,-2639.3,0.4766,-0.763,-2440.0,0.5118,-0.863,-2232.1,0.5237,-2.119,-1,3,trend,1.53
down,1719248100000,2024-06-24T16:55:00.000000000,60060.0,-1.539,1,5.81,-544.1,0.421,1.817,85.0097,7.5e-05,0.27,-323.4,0.5354,0.03,-483.9,0.4972,-0.043,-435.0,0.5025,0.35,12.1,0.5324,-2.761,-1,180,trend,-2.285
down,1719261000000,2024-06-24T20:30:00.000000000,58651.63,-1.545,1,4.98,606.7,0.5002,1.825,82.821,7.5e-05,0.906,-856.0,0.543,1.005,-1021.8,0.4943,1.515,-1201.6,0.539,2.052,-1454.2,0.5493,-0.426,5,-1,whipsaw,-5.694
up,1719262800000,2024-06-24T21:00:00.000000000,59540.15,1.515,1,4.42,-1201.6,0.539,1.766,71.921,7.5e-05,-0.204,-58.5,0.5006,0.091,-71.7,0.522,0.529,-252.7,0.5617,0.91,128.2,0.5647,1.888,-1,83,trend,3.938
up,1719786540000,2024-06-30T22:29:00.000000000,62942.57,1.619,1,5.61,1053.4,0.5899,1.191,53.4052,0.0001,-0.297,-766.8,0.4487,-0.141,-550.0,0.5139,-0.066,5.8,0.4899,-0.074,-386.1,0.4736,1.391,-1,163,trend,-0.097
down,1720057680000,2024-07-04T01:48:00.000000000,59140.0,-1.695,1,4.01,-1567.3,0.4569,1.389,154.1114,0.0001,-0.079,-225.6,0.4022,-1.589,-778.6,0.4525,-0.568,-1613.2,0.5029,-0.159,-1339.1,0.5039,-2.266,-1,8,trend,3.324
up,1720060200000,2024-07-04T02:30:00.000000000,58980.0,1.909,1,10.76,-833.6,0.5427,1.459,96.2817,0.0001,0.044,141.9,0.4941,0.135,273.1,0.5018,-0.067,572.6,0.4421,-0.1,832.1,0.4589,0.298,-1,-1,partial,-2.964
down,1720082400000,2024-07-04T08:40:00.000000000,57504.35,-1.608,1,4.87,-28.4,0.3451,1.636,71.659,0.0001,0.543,-125.6,0.5095,0.424,315.1,0.4831,-0.102,-387.5,0.4734,0.57,-644.8,0.4803,-0.961,147,-1,whipsaw,5.592
down,1720136460000,2024-07-04T23:41:00.000000000,56944.15,-1.868,1,2.78,-21.5,0.4446,1.566,90.369,0.0001,0.569,-850.8,0.4825,0.309,-673.4,0.5262,0.11,-609.7,0.5351,0.366,-754.2,0.5053,-3.414,0,192,whipsaw,0.211
down,1720148280000,2024-07-05T02:58:00.000000000,55998.15,-1.52,2,5.9,-864.7,0.4295,1.88,123.3634,0.0001,-0.677,-1208.9,0.4268,-0.886,-1518.7,0.4552,-1.025,-1389.6,0.4531,-1.372,-1254.2,0.4732,-4.486,-1,3,trend,-0.764
up,1720191900000,2024-07-05T15:05:00.000000000,56264.02,1.601,1,1.98,-212.6,0.5576,1.579,51.4441,0.0001,-0.106,-189.4,0.5246,0.126,-259.0,0.5243,0.171,-254.5,0.5212,0.475,-108.2,0.4976,1.379,-1,80,trend,1.33
down,1720387440000,2024-07-07T21:24:00.000000000,56366.0,-1.616,1,3.81,332.6,0.3912,1.463,56.8624,0.0001,-0.231,541.2,0.5394,0.037,1141.4,0.4987,0.395,1105.2,0.5241,0.486,1127.6,0.4668,-3.736,-1,145,trend,0.031
down,1720400280000,2024-07-08T00:58:00.000000000,55082.0,-1.678,1,6.13,35.8,0.476,1.586,81.2241,7.9e-05,-0.447,-184.3,0.3966,-1.164,-323.4,0.4114,-0.708,-183.6,0.444,-0.303,276.5,0.4581,-1.492,228,12,trend,-2.644
